embedding,method,seed,threshold,f1,auroc,auprc,vds,pairwise_acc
CodeBERT,supervised,42,0.73,0.1616,0.8227,0.0932,0.9563,0.2299
CodeBERT,supervised,123,0.78,0.1563,0.8213,0.0927,0.9581,0.2552
CodeBERT,supervised,456,0.7,0.1523,0.8193,0.0882,0.9599,0.2644
CodeBERT,naive_pu,42,0.76,0.1368,0.8163,0.083,0.9636,0.2552
CodeBERT,naive_pu,123,0.69,0.1457,0.8177,0.0884,0.9545,0.2575
CodeBERT,naive_pu,456,0.76,0.1421,0.814,0.0853,0.9599,0.2506
CodeBERT,nnpu,42,0.12,0.1561,0.8136,0.0846,0.969,0.2621
CodeBERT,nnpu,123,0.1,0.1432,0.8124,0.0859,0.9599,0.2391
CodeBERT,nnpu,456,0.07,0.1542,0.8111,0.0843,0.9636,0.269
CodeBERT,self_training,42,0.75,0.1307,0.8151,0.0849,0.9581,0.2529
CodeBERT,self_training,123,0.76,0.1347,0.8145,0.0879,0.9526,0.246
CodeBERT,self_training,456,0.71,0.136,0.8113,0.0816,0.9672,0.246
VulBERTa,supervised,42,0.87,0.193,0.8383,0.1132,,
VulBERTa,supervised,123,0.92,0.18,0.8368,0.1171,,
VulBERTa,supervised,456,0.76,0.1776,0.8361,0.115,,
VulBERTa,naive_pu,42,0.9,0.17,0.8177,0.1116,,
VulBERTa,naive_pu,123,0.71,0.1553,0.812,0.0865,,
VulBERTa,naive_pu,456,0.87,0.1767,0.8111,0.1025,,
VulBERTa,nnpu,42,0.19,0.1732,0.8129,0.1147,,
VulBERTa,nnpu,123,0.13,0.1667,0.8157,0.0975,,
VulBERTa,nnpu,456,0.17,0.1659,0.8032,0.104,,
VulBERTa,self_training,42,0.9,0.17,0.8177,0.1116,,
VulBERTa,self_training,123,0.71,0.1553,0.812,0.0865,,
VulBERTa,self_training,456,0.87,0.1767,0.8111,0.1025,,
