prior,prior_mult,seed,threshold,f1,auroc,auprc
0.0139,0.5x,42,0.05,0.1546,0.8073,0.0887
0.0139,0.5x,123,0.05,0.1458,0.8155,0.0874
0.0139,0.5x,456,0.05,0.1208,0.8147,0.0863
0.0208,0.75x,42,0.09,0.154,0.814,0.0849
0.0208,0.75x,123,0.07,0.146,0.8136,0.086
0.0208,0.75x,456,0.05,0.1533,0.812,0.0838
0.0277,1.0x,42,0.12,0.1561,0.8136,0.0846
0.0277,1.0x,123,0.1,0.1432,0.8124,0.0859
0.0277,1.0x,456,0.07,0.1542,0.8111,0.0843
0.0346,1.25x,42,0.15,0.1582,0.8141,0.0856
0.0346,1.25x,123,0.12,0.1418,0.8117,0.0855
0.0346,1.25x,456,0.08,0.1545,0.8105,0.0846
0.0416,1.5x,42,0.17,0.1562,0.813,0.085
0.0416,1.5x,123,0.15,0.1453,0.8111,0.0851
0.0416,1.5x,456,0.19,0.1456,0.8072,0.0845
0.0554,2.0x,42,0.22,0.1602,0.8121,0.0862
0.0554,2.0x,123,0.22,0.1507,0.8082,0.0882
0.0554,2.0x,456,0.31,0.1434,0.8067,0.0839
